Colonne1,name,nickname
282,Constance,Connie
283,Cordelia,Cordy
284,Cordelia,Delia
285,Cornelia,Cornie
286,Cornelia,Corny
287,Cornelia,Nelia
288,Cornelia,Nelle
289,Cornelia,Nelly
290,Cornelius,Con
291,Cornelius,Conny
292,Cornelius,Corny
293,Cornelius,Niel
294,Courtney,Court
295,Courtney,Curt
296,Curtis,Curt
297,Cynthia,Cindy
298,Cynthia,Cindy
299,Cynthia,Cintha
300,Cyrenius,Cene
301,Cyrenius,Cy
302,Cyrenius,Renius
303,Cyrenius,Serene
304,Cyrenius,Swene
305,Dal,Dahl
306,Dalton,Dahl
307,Daniel,Dan
308,Daniel,Danny
309,Darlene,Darry
310,Darlene,Lena
311,David,Dave
312,David,Davey
313,David,Day
314,Debora,Deb
315,Debora,Debbie
316,Debora,Debby
317,Deborah,Deb
318,Deborah,Debbie
319,Deborah,Debby
320,Debra,Deb
321,Debra,Debbie
322,Delbert,Bert
323,Delbert,Del
324,Deliverance,Della
325,Deliverance,Delly
326,Deliverance,Dilly
327,Delores,Dee
328,Delores,Dell
329,Delores,Della
330,Delores,Lola
331,Delores,Lolly
332,Dennis,Denny
333,Dennison,Denny
334,Derrick,Eric
335,Derrick,Rick
336,Derrick,Rick
337,Derrick,Ricky
338,Dicey,Dicie
339,Domenic,Dom
340,Dominic,Dom
341,Donald,Don
342,Donald,Donnie
343,Donald,Donny
344,Donald,Dony
345,Dorcus,Darkey
346,Dorothy,Dolly
347,Dorothy,Dortha
348,Dorothy,Dot
349,Dorothy,Dotty
350,Ebenezer,Eb
351,Ebenezer,Ebbie
352,Ebenezer,Eben
353,Edgar,Ed
354,Edgar,Eddie
355,Edgar,Eddy
356,Edith,Edie
357,Edith,Edie
358,Edith,Edye
359,Edmond,Ed
360,Edmond,Eddie
361,Edmond,Eddy
362,Edmund,Ed
363,Edmund,Ed
364,Edmund,Eddie
365,Edmund,Eddy
366,Edmund,Ned
367,Edmund,Ted
368,Eduardo,Ed
369,Eduardo,Eddie
370,Eduardo,Eddy
371,Edward,Ed
372,Edward,Eddie
373,Edward,Eddy
374,Edward,Ned
375,Edward,Ted
376,Edward,Teddy
377,Edwin,Ed
378,Edwin,Eddie
379,Edwin,Eddy
380,Edwin,Ned
381,Edwin,Win
382,Edyth,Edie
383,Edyth,Edye
